# ----------------------------------------
# Tráfico de búsqueda orgánica de Google: Página de destino y cadena de consulta
# Cuenta: Luuma
# Propiedad: www.luumarooftop.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260521
# Fecha de finalización: 20260818
Página de destino y cadena de consulta,Clics de la Búsqueda de Google orgánica,Impresiones de la Búsqueda de Google orgánica,Porcentaje de clics de la Búsqueda de Google orgánica,Posición media en la Búsqueda de Google orgánica,Usuarios activos,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Ingresos publicitarios
/tag/salon-de-eventos/,0,2,0,13.5,0,0,0,0,0,0,0
/tag/salsa-manabita/,0,2,0,9.5,0,0,0,0,0,0,0
/tag/san-mateo/,0,3,0,5.333333333333333,0,0,0,0,0,0,0
/tag/sancocho-manabita/,0,11,0,5,0,0,0,0,0,0,0
/tag/sopa-manabita/,0,3,0,10.333333333333334,0,0,0,0,0,0,0
/tag/tarqui/,0,25,0,10.2,0,0,0,0,0,0,0
/tag/taxi-manta/,0,6,0,9.833333333333334,0,0,0,0,0,0,0
/tag/temporada/,0,2,0,10,0,0,0,0,0,0,0
/tag/things-to-do-in-manta/,0,4,0,5.25,0,0,0,0,0,0,0
/tag/uber-manta/,0,26,0,9.307692307692308,0,0,0,0,0,0,0
/tag/viajar-a-manta/,0,1,0,4,0,0,0,0,0,0,0
/tag/viche/,0,1,0,8,0,0,0,0,0,0,0
/tag/vida-nocturna-manta/,0,2,0,4.5,0,0,0,0,0,0,0
/tag/vida-nocturna/,0,2,0,8.5,0,0,0,0,0,0,0
/tag/vinos-manta/,0,3,0,9,0,0,0,0,0,0,0
/vida-en-manta/best-rooftop-bar-manta-ecuador/,0,1074,0,7.391061452513966,1,0,0,0,3,0,0
/vida-en-manta/brunch-en-manta/,0,629,0,4.658187599364069,1,0,0,0,3,0,0
/vida-en-manta/manta-de-noche-que-hacer/,0,40,0,6.425,0,0,0,0,0,0,0
,0,0,0,0,31,0,0,56.12903225806452,88,1,0
(not set),0,0,0,0,65,9,0.05056179775280899,17.092307692307692,370,0,0
/?fbclid=PAcGRvZgJleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAad4FPihSyMGvVOZC0UdsMTgwaxcKkWP4rKeH-urhRflIuCJNl_bmfHD0d-tlQ_aem_FFKtERPjEIi4tCkeuOY3GA,0,0,0,0,1,0,0,22,6,0,0
/?fbclid=PAcGRvZgJleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAae7Gfq03-YwAH5acnhCX7erLWqUKWm48XMAWiDth4vD2azKAovxt4rYFaQ02A_aem_MNTFRTN_NkTc-7xgBO_3Lg,0,0,0,0,1,0,0,3,4,0,0
/?fbclid=PAcGRvZgJmZGlkFlDLFsTvA3htL8ijYXE4DTOyD_UP8xZleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacA77LOyxlQQZ_jK1ZeRdR_l7_78fr7jgwksk0Oe-TUdeGygi9X4VwlVG-D6w_aem_GgSF_fBxFAYwDXp7rguawg,0,0,0,0,1,0,0,0,4,0,0
/?fbclid=PAcGRvZgJmZGlkFlDLLBbVCtg2VKk4nPurD6bNZlaaPSpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadvPxgtzX_Jj2pQYrlfXdT2lHWjqSUe3FKwybF9Gl4Mhnhx4exmjrYuTd94iw_aem_vm96jRyNM1Mvv2aX5IMk3w,0,0,0,0,1,0,0,0,18,0,0
/?fbclid=PAcGRvZgJmZGlkFlDLSFskd521S6aI4aw4gfQe-gGJR5FleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacfv-hKj6K7w9NY7_lyH1PM-8GKcSbkzJvQv5m73rwMhFP-zt5xzWA1b9w1Rg_aem_Yo7Thhm9gOogeI5J6epx-w,0,0,0,0,1,0,0,0,3,0,0
